Party name,Alliance
Telugu Desam,Independent
Bharatiya Janata Party,NDA
Yuvajana Sramika Rythu Congress Party,Independent
Janasena Party,Independent
Asom Gana Parishad,NDA
Indian National Congress,INDIA
"United Peoples Party, Liberal",Independent
Communist Party of India  (Marxist-Leninist)  (Liberation),Independent
Rashtriya Janata Dal,INDIA
Janata Dal  (United),Independent
Hindustani Awam Morcha (Secular),Independent
Lok Janshakti Party(Ram Vilas),Independent
Independent,Independent
Janata Dal  (Secular),Independent
Communist Party of India  (Marxist),Independent
Revolutionary Socialist Party,INDIA
Kerala Congress,INDIA
Indian Union Muslim League,INDIA
Nationalist Congress Party  Sharadchandra Pawar,Independent
Shiv Sena,NDA
Shiv Sena (Uddhav Balasaheb Thackrey),Independent
Nationalist Congress Party,NDA
Voice of the People Party,Independent
Zoram Peoples Movement,Independent
Aam Aadmi Party,INDIA
Shiromani Akali Dal,Independent
Bharat Adivasi Party,Independent
Rashtriya Loktantrik Party,INDIA
Sikkim Krantikari Morcha,NDA
Dravida Munnetra Kazhagam,INDIA
Viduthalai Chiruthaigal Katchi,INDIA
Communist Party of India,INDIA
Marumalarchi Dravida Munnetra Kazhagam,INDIA
Samajwadi Party,INDIA
Rashtriya Lok Dal,NDA
Apna Dal (Soneylal),NDA
Aazad Samaj Party (Kanshi Ram),Independent
All India Trinamool Congress,INDIA
Jharkhand Mukti Morcha,INDIA
AJSU Party,Independent
All India Majlis-E-Ittehadul Muslimeen,Independent
Jammu & Kashmir National Conference,Independent
All India United Democratic Front,Independent
Assam Jatiya Parishad,INDIA
Bodoland Peoples Front,Independent
Vikassheel Insaan Party,Independent
Kerala Congress  (M),Independent
Bahujan Samaj Party,Independent
Rashtriya Samaj Paksha,NDA
Naga Peoples Front,Independent
National People's Party,NDA
Mizo National Front,Independent
Nationalist Democratic Progressive Party,NDA
Biju Janata Dal,Independent
Citizen Action Party-Sikkim,Independent
All India Anna Dravida Munnetra Kazhagam,Independent
Desiya Murpokku Dravida Kazhagam,Independent
Pattali Makkal Katchi,NDA
Amma Makkal Munnettra Kazagam,Independent
Suheldev Bharatiya Samaj Party,NDA
Bharat Rashtra Samithi,Independent
Jammu & Kashmir Peoples Democratic Party,Independent
